0,-13.8155105580,-13.8155105580,-6.2507380468,-12.2640104006,-10.7813059371,-13.8155105580
1,-0.0014911630,-9.0202081283,-13.8155105580,-10.0979944238,-0.0000010000,-0.0891870498
2,-8.9668346603,-10.1158026021,-13.8155105580,-12.7592047284,-13.8155105580,-13.8155105580
3,-13.8155105580,-9.7471493659,-0.0030874844,-10.5369040034,-11.0014229828,-13.1854449869
4,-8.6622615952,-0.0053840252,-0.0000010000,-12.1196149194,-5.3611755440,-11.0117929293
5,-11.4367195639,-10.2664011445,-12.1701936149,-12.7688440615,-13.8155105580,-13.8155105580
6,-9.2678569688,-12.4556284343,-13.8155105580,-0.0000078851,-12.4450768174,-6.1159989113
7,-0.4542599574,-7.0836780309,-0.0000010000,-0.1390532377,-0.1138612401,-0.0000260728
8,-3.4862546989,-12.1902008033,-3.4242279169,-6.1800446798,-13.5075375823,-7.1226788410
9,-10.6738670772,-9.9050230088,-0.0000010000,-0.0289215829,-13.8155105580,-10.2107144600
10,-12.6012731593,-13.8155105580,-5.6385902990,-6.4187557620,-11.4640595619,-11.3057203884
11,-8.5769876127,-1.5254833914,-13.8155105580,-12.9737865473,-13.8155105580,-11.7139915197
12,-11.7831744192,-13.8155105580,-13.8155105580,-12.4964736040,-13.8155105580,-13.8155105580
13,-0.0000306580,-0.0000010000,-0.0000010000,-0.0000184207,-0.0000010000,-0.0000010000
14,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000,-0.0000010000
15,-4.0944027676,-0.0000051970,-0.0004187759,-0.0000010000,-0.0000010000,-0.0000010000
16,-13.8155105580,-6.7511862400,-13.8155105580,-13.8155105580,-12.6480463934,-13.8155105580
17,-13.8155105580,-13.8155105580,-13.8155105580,-12.4672801772,-13.6816823056,-13.6931308911
18,-13.4928383203,-13.8155105580,-13.8155105580,-13.8155105580,-11.6242845243,-9.6543442650
19,-13.3131095816,-1.0551719676,-3.9320901064,-9.6259280794,-0.0025494093,-0.0383995144
20,-6.5071836582,-10.4243507184,-11.5149404020,-10.4655672959,-3.5944995703,-2.4051868739
21,-11.2340514053,-13.8155105580,-13.8155105580,-8.3665172736,-13.8155105580,-13.8155105580
22,-0.0831904398,-0.0000010000,-12.7484926682,-10.5074218846,-0.0000010000,-0.0116374951
