14, 5.4
77, 3.7
103, 5.6
153, 5.9
203, 4.1
214, 5.3
215, 11.3
253, 4.5
266, 8.5
271, 6.5
296, 4.1
327, 3.8
429, 5.3
432, 9.9
732, 5.6
743, 13.6
777, 10.1
868, 4.1
892, 6.9
924, 7.1
975, 12.5
1074, 6.9
1206, 6.2
1264, 6.7
1458, 24.3
1523, 6.7
1600, 3.8
1847, 12.8
1885, 5.7
1935, 4.4
2041, 5.1
2130, 11.0
2152, 4.1
2197, 6.9
2245, 4.3
2272, 6.2
2275, 4.1
2299, 7.8
2320, 5.2
2323, 6.2
2335, 4.6
2419, 4.5
2440, 5.8
2467, 3.8
2498, 8.6
2706, 4.9
2738, 4.6
2805, 4.4
3030, 4.1
3144, 6.1
3162, 4.5
3203, 5.2
3206, 4.6
3295, 4.4
3298, 8.8
3374, 4.3
3388, 16.1
3407, 4.7
3440, 5.5
3447, 5.4
3470, 5.0
3519, 10.1
3755, 5.6
3762, 5.3
3786, 5.6
3787, 4.6
3872, 5.9
4051, 6.2
4161, 4.3
4200, 5.2
4567, 4.2
4570, 6.0
4594, 6.3
4613, 3.8
4666, 4.8
4693, 4.4
4781, 10.2
4802, 7.2
4845, 7.3
4883, 6.4
4973, 3.8
5074, 4.6
5077, 7.7
5202, 4.1
5226, 4.0
5454, 5.7
5522, 6.2
5595, 6.5
5690, 4.9
5748, 4.6
5888, 10.4
5902, 8.2
5914, 5.6
6053, 4.9
6084, 4.5
6126, 5.7
6146, 4.5
6392, 4.4
6426, 4.8
6480, 5.4
6519, 5.1
6542, 6.7
6551, 5.0
6658, 5.4
6692, 4.5
6725, 4.9
6889, 12.6
6924, 6.7
6990, 6.1
6995, 4.2
